joss_id,title,language,predicted_categories,ground_truth,success,error,raw_response,latency_s
4740,overviewR - Easily Explore Your Data in R,R,"['Data Analytics', 'Software', 'Ui']","['Data Analytics', 'Integrative Analysis', 'Process', 'Ris', 'Software', 'Software Analytics']",True,,"{""categories"": [""Data Analytics"", ""Software"", ""Ui""]}",
3290,covidregionaldata: Subnational data for COVID-19 epidemiology,R,"['Data Analytics', 'Software', 'Integrative Analysis']","['Data Analytics', 'Integrative Analysis', 'Process', 'Ris', 'Software']",True,,"{""categories"": [""Data Analytics"", ""Software"", ""Integrative Analysis""]}",
177,GSODR: Global Summary Daily Weather Data in R,R,"['Data Analytics', 'Software', 'Modeling And Simulation']","['Data Analytics', 'Integrative Analysis', 'Process', 'Ris', 'Software']",True,,"{""categories"": [""Data Analytics"", ""Software"", ""Modeling And Simulation""]}",
1322,UTDEventData: An R package to access political event data,R,"['Data Analytics', 'Software', 'Software Analytics']","['Data Analytics', 'Integrative Analysis', 'Ris', 'Software']",True,,"{""categories"": [""Data Analytics"", ""Software"", ""Software Analytics""]}",
1169,scikit-posthocs: Pairwise multiple comparison tests in Python,Python,"['Data Analytics', 'Software', 'Modeling And Simulation']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software Analytics']",True,,"{""categories"": [""Data Analytics"", ""Software"", ""Modeling And Simulation""]}",
8855,Graphem - JAX: Node Influence Maximization via Geometric Embeddings,Python,"['Modeling And Simulation', 'Data Analytics', 'Software Analytics']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software Analytics""]}",
8504,PyBispectra: A toolbox for advanced electrophysiological signal processing using the bispectrum,Python,"['Data Analytics', 'Software', 'Modeling And Simulation']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"{""categories"": [""Data Analytics"", ""Software"", ""Modeling And Simulation""]}",237.86
8456,Gene Fetch: A Python tool for sequence retrieval from GenBank across the tree of life,Python,"['Software', 'Data Analytics', 'Modeling And Simulation']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"{""categories"": [""Software"", ""Data Analytics"", ""Modeling And Simulation""]}",214.22
8481,Scikit-Longitudinal: A Machine Learning Library for Longitudinal Classification in Python,Python,"['Modeling And Simulation', 'Data Analytics', 'Software Analytics']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software Analytics""]}",0.98
8454,SPEI: A Python package for calculating and visualizing drought indices,Python,"['Data Analytics', 'Modeling And Simulation', 'Software']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"{""categories"": [""Data Analytics"", ""Modeling And Simulation"", ""Software""]}",0.8
7471,EcoLogits: Evaluating the Environmental Impacts of Generative AI,Python,"['Modeling And Simulation', 'Data Analytics', 'Software Analytics']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"```json
{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software Analytics""]}
```",1.13
8061,FRAGMENT-MNP: A model of micro- and nanoplastic fragmentation in the environment,Python,"['Modeling And Simulation', 'Data Analytics', 'Software']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software""]}",0.94
7477,VoteKit: A Python package for computational social choice research,Python,"['Software', 'Data Analytics', 'Modeling And Simulation']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"{""categories"": [""Software"", ""Data Analytics"", ""Modeling And Simulation""]}",0.95
7668,Mesa 3: Agent-based modeling with Python in 2025,Python,"['Modeling And Simulation', 'Data Analytics', 'Software']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software""]}",0.97
7301,Pooltool: A Python package for realistic billiards simulation,Python,"['Modeling And Simulation', 'Software', 'Data Analytics']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"{""categories"": [""Modeling And Simulation"", ""Software"", ""Data Analytics""]}",0.95
7059,Jupyter Scatter: Interactive Exploration of Large-Scale Datasets,Python,"['Data Analytics', 'Software', 'Ui']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"```json
{""categories"": [""Data Analytics"", ""Software"", ""Ui""]}
```",0.98
6169,proteusPy: A Python Package for Protein Structure and Disulfide Bond Modeling and Analysis,Python,"['Modeling And Simulation', 'Data Analytics', 'Software']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software""]}",0.86
6802,chemotools: A Python Package that Integrates Chemometrics and scikit-learn,Python,"['Data Analytics', 'Software', 'Modeling And Simulation']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"{""categories"": [""Data Analytics"", ""Software"", ""Modeling And Simulation""]}",0.95
6830,"sourmash v4: A multitool to quickly search, compare, and analyze genomic and metagenomic data sets",Python,"['Data Analytics', 'Modeling And Simulation', 'Software']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"{""categories"": [""Data Analytics"", ""Modeling And Simulation"", ""Software""]}",0.86
6298,ABSESpy: An agent-based modeling framework for social-ecological systems,Python,"['Modeling And Simulation', 'Data Analytics', 'Software']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software""]}",0.95
6227,Learning from Crowds with Crowd-Kit,Python,"['Data Analytics', 'Software Analytics', 'Modeling And Simulation']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"{""categories"": [""Data Analytics"", ""Software Analytics"", ""Modeling And Simulation""]}",0.88
6016,HyperNetX: A Python package for modeling complex network data as hypergraphs,Python,"['Modeling And Simulation', 'Data Analytics', 'Software']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software""]}",0.95
5959,HW2D: A reference implementation of the Hasegawa-Wakatani model for plasma turbulence in fusion reactors,Python,"['Modeling And Simulation', 'Data Analytics', 'Software']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software""]}",0.83
5673,PurpleCaffeine: tracking of quantum programs and experiments,Python,"['Software', 'Data Analytics', 'Modeling And Simulation']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"{""categories"": [""Software"", ""Data Analytics"", ""Modeling And Simulation""]}",0.83
5076,Sciris: Simplifying scientific software in Python,Python,"['Software', 'Data Analytics', 'Modeling And Simulation']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"{""categories"": [""Software"", ""Data Analytics"", ""Modeling And Simulation""]}",0.86
5255,Bluebonnet: Scaling solutions for production analysis from unconventional oil and gas wells,Python,"['Data Analytics', 'Software', 'Modeling And Simulation']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"```json
{""categories"": [""Data Analytics"", ""Software"", ""Modeling And Simulation""]}
```",1.08
5582,PxMCMC: A Python package for proximal Markov Chain Monte Carlo,Python,"['Modeling And Simulation', 'Data Analytics', 'Software Analytics']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software Analytics""]}",1.02
5593,Pyafscgap.org: Open source multi-modal Python-based tools for NOAA AFSC RACE GAP,Python,"['Data Analytics', 'Software', 'Modeling And Simulation']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"{""categories"": [""Data Analytics"", ""Software"", ""Modeling And Simulation""]}",0.84
5092,Fast Resampling and Monte Carlo Methods in Python,Python,"['Modeling And Simulation', 'Data Analytics', 'Software']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software""]}",0.81
4724,The sspm R package for spatially-explicit surplus production population models,R,"['Modeling And Simulation', 'Data Analytics', 'Software']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software""]}",368.97
5269,spgrep: On-the-fly generator of space-group irreducible representations,Python,"['Modeling And Simulation', 'Data Analytics', 'Software']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"```json
{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software""]}
```",215.21
5415,xclim: xarray-based climate data analytics,Python,"['Data Analytics', 'Software', 'Software Analytics']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"{""categories"": [""Data Analytics"", ""Software"", ""Software Analytics""]}",393.16
5300,fractopo: A Python package for fracture network analysis,Python,"['Data Analytics', 'Modeling And Simulation', 'Software']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"{""categories"": [""Data Analytics"", ""Modeling And Simulation"", ""Software""]}",214.64
5149,PyExperimenter: Easily distribute experiments and track results,Python,"['Software', 'Data Analytics', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"```json
{""categories"": [""Software"", ""Data Analytics"", ""Process""]}
```",391.13
5126,Openseize: A digital signal processing package for large EEG datasets in Python,Python,"['Data Analytics', 'Software', 'Modeling And Simulation']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"{""categories"": [""Data Analytics"", ""Software"", ""Modeling And Simulation""]}",214.49
4953,tpcp: Tiny Pipelines for Complex Problems - A set of framework independent helpers for algorithms development and evaluation,Python,"['Modeling And Simulation', 'Data Analytics', 'Software Analytics']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"```json
{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software Analytics""]}
```",390.98
5028,ALNS: a Python implementation of the adaptive large neighbourhood search metaheuristic,Python,"['Modeling And Simulation', 'Software', 'Data Analytics']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"{""categories"": [""Modeling And Simulation"", ""Software"", ""Data Analytics""]}",216.96
4774,VIP: A Python package for high-contrast imaging,Python,"['Modeling And Simulation', 'Data Analytics', 'Software']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software""]}",381.43
4879,teiphy: A Python Package for Converting TEI XML Collations to NEXUS and Other Formats,Python,"['Software', 'Data Analytics', 'Integrative Analysis']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"{""categories"": [""Software"", ""Data Analytics"", ""Integrative Analysis""]}",208.78
4866,hstrat: a Python Package for phylogenetic inference on distributed digital evolution populations,Python,"['Modeling And Simulation', 'Data Analytics', 'Software Analytics']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software Analytics""]}",395.54
4622,Black-it: A Ready-to-Use and Easy-to-Extend Calibration Kit for Agent-based Models,Python,"['Modeling And Simulation', 'Software', 'Data Analytics']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"```json
{""categories"": [""Modeling And Simulation"", ""Software"", ""Data Analytics""]}
```",209.28
4455,GPJax: A Gaussian Process Framework in JAX,Python,"['Modeling And Simulation', 'Data Analytics', 'Software']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software""]}",401.39
4212,ausdex: A Python package for adjusting Australian dollars for inflation,Python,"['Data Analytics', 'Software', 'Software Analytics']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"{""categories"": [""Data Analytics"", ""Software"", ""Software Analytics""]}",223.92
4383,`tukey_hsd`: An Accurate Implementation of the Tukey Honestly Significant Difference Test in Python,Python,"['Data Analytics', 'Software', 'Modeling And Simulation']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"{""categories"": [""Data Analytics"", ""Software"", ""Modeling And Simulation""]}",409.82
4080,Rainbow: Automated Air-Liquid Interface Cell Culture Analysis Using Deep Optical Flow,Python,"['Data Analytics', 'Modeling And Simulation', 'Software']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"```json
{""categories"": [""Data Analytics"", ""Modeling And Simulation"", ""Software""]}
```",241.91
3417,Beiwe: A data collection platform for high-throughput digital phenotyping,Python,"['Data Analytics', 'Software', 'Integrative Analysis']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"```json
{""categories"": [""Data Analytics"", ""Software"", ""Integrative Analysis""]}
```",374.5
2784,"kalepy: a Python package for kernel density estimation, sampling and plotting",Python,"['Data Analytics', 'Modeling And Simulation', 'Software']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"{""categories"": [""Data Analytics"", ""Modeling And Simulation"", ""Software""]}",244.38
2392,multivar_horner: A Python package for computing Horner factorisations of multivariate polynomials,Python,"['Modeling And Simulation', 'Software', 'Data Analytics']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"{""categories"": [""Modeling And Simulation"", ""Software"", ""Data Analytics""]}",242.74
2075,psi-collect: A Python module for post-storm image collection and cataloging,Python,"['Data Analytics', 'Software', 'Ui']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"{""categories"": [""Data Analytics"", ""Software"", ""Ui""]}",419.88
1931,NeuroDiffEq: A Python package for solving differential equations with neural networks,Python,"['Modeling And Simulation', 'Data Analytics', 'Software']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software""]}",237.79
1738,Pybotics: Python Toolbox for Robotics,Python,"['Software', 'Modeling And Simulation', 'Data Analytics']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"{""categories"": [""Software"", ""Modeling And Simulation"", ""Data Analytics""]}",239.25
1675,pySRURGS - a python package for symbolic regression by uniform random global search,Python,"['Modeling And Simulation', 'Data Analytics', 'Software']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software""]}",423.65
1463,emg3d: A multigrid solver for 3D electromagnetic diffusion,Python,"['Modeling And Simulation', 'Data Analytics', 'Software']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software""]}",251.91
979,Lithology: A Landlab submodule for spatially variable rock properties,Python,"['Modeling And Simulation', 'Data Analytics', 'Software']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software""]}",256.66
613,NiaPy: Python microframework for building nature-inspired algorithms,Python,"['Modeling And Simulation', 'Software', 'Data Analytics']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"{""categories"": [""Modeling And Simulation"", ""Software"", ""Data Analytics""]}",409.19
53,CAZy-parser a way to extract information from the Carbohydrate-Active enZYmes Database,Python,"['Data Analytics', 'Software', 'Integrative Analysis']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"{""categories"": [""Data Analytics"", ""Software"", ""Integrative Analysis""]}",253.62
8037,AutoUncertainties: A Python Package for Uncertainty Propagation,Python,"['Modeling And Simulation', 'Data Analytics', 'Software Analytics']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics']",True,,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software Analytics""]}",248.71
6733,MWRpy: A Python package for processing microwave radiometer data,Python,"['Data Analytics', 'Software', 'Modeling And Simulation']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics']",True,,"{""categories"": [""Data Analytics"", ""Software"", ""Modeling And Simulation""]}",418.54
5867,sparse-lm: Sparse linear regression models in Python,Python,"['Modeling And Simulation', 'Data Analytics', 'Software Analytics']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics']",True,,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software Analytics""]}",249.92
5701,lavaanExtra: Convenience Functions for Package lavaan,R,"['Software', 'Data Analytics', 'Modeling And Simulation']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics']",True,,"{""categories"": [""Software"", ""Data Analytics"", ""Modeling And Simulation""]}",253.7
4607,PyFPT: A Python package for first-passage times,Python,"['Modeling And Simulation', 'Data Analytics', 'Software']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics']",True,,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software""]}",380.0
4568,CWInPy: A Python package for inference with continuous gravitational-wave signals from pulsars,Python,"['Modeling And Simulation', 'Data Analytics', 'Software']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics']",True,,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software""]}",258.47
3330,spopt: a python package for solving spatial optimization problems in PySAL,Python,"['Modeling And Simulation', 'Data Analytics', 'Software']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics']",True,,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software""]}",232.39
4078,PyNumDiff: A Python package for numerical differentiation of noisy time-series data,Python,"['Data Analytics', 'Software', 'Modeling And Simulation']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics']",True,,"{""categories"": [""Data Analytics"", ""Software"", ""Modeling And Simulation""]}",382.4
3864,sknet: A Python framework for Machine Learning in Complex Networks,Python,"['Modeling And Simulation', 'Data Analytics', 'Software Analytics']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics']",True,,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software Analytics""]}",408.51
3617,eyecite: A tool for parsing legal citations,Python,"['Software', 'Data Analytics', 'Software Analytics']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics']",True,,"{""categories"": [""Software"", ""Data Analytics"", ""Software Analytics""]}",210.42
3634,latentcor: An R Package for estimating latent correlations from mixed data types,R,"['Modeling And Simulation', 'Data Analytics', 'Software Analytics']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics']",True,,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software Analytics""]}",393.5
3323,RENT: A Python Package for Repeated Elastic Net Feature Selection,Python,"['Modeling And Simulation', 'Data Analytics', 'Software Analytics']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics']",True,,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software Analytics""]}",209.01
2607,"Foolbox Native: Fast adversarial attacks to benchmark the robustness of machine learning models in PyTorch, TensorFlow, and JAX",Python,"['Modeling And Simulation', 'Data Analytics', 'Software Analytics']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics']",True,,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software Analytics""]}",396.0
1881,ytree: A Python package for analyzing merger trees,Python,"['Data Analytics', 'Software', 'Modeling And Simulation']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics']",True,,"{""categories"": [""Data Analytics"", ""Software"", ""Modeling And Simulation""]}",209.72
1704,AXITOM: A Python package for reconstruction of axisymmetric tomograms acquired by a conical beam,Python,"['Modeling And Simulation', 'Data Analytics', 'Software']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics']",True,,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software""]}",395.42
1427,fmcmc: A friendly MCMC framework,R,"['Modeling And Simulation', 'Data Analytics', 'Software']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics']",True,,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software""]}",209.51
1306,crystal-torture: A crystal tortuosity module,Python,"['Modeling And Simulation', 'Software', 'Data Analytics']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics']",True,,"{""categories"": [""Modeling And Simulation"", ""Software"", ""Data Analytics""]}",395.96
