joss_id,title,language,predicted_categories,ground_truth,success,error,latency_s,raw_response
4987,signnet: An R package for analyzing signed networks,R,"['Data Analytics', 'Software', 'Ris', 'Process']","['Data Analytics', 'Integrative Analysis', 'Modeling And Simulation', 'Ris', 'Software', 'Software Analytics']",True,,0.73,"{""categories"": [""Data Analytics"", ""Software"", ""Ris"", ""Process""]}"
5338,Crowsetta: A Python tool to work with any format for annotating animal vocalizations and bioacoustics data.,Python,"['Data Analytics', 'Ris', 'Software', 'Process']","['Data Analytics', 'Integrative Analysis', 'Modeling And Simulation', 'Ris', 'Software']",True,,0.71,"{""categories"": [""Data Analytics"", ""Ris"", ""Software"", ""Process""]}"
4740,overviewR - Easily Explore Your Data in R,R,"['Data Analytics', 'Ui', 'Software', 'Process']","['Data Analytics', 'Integrative Analysis', 'Process', 'Ris', 'Software', 'Software Analytics']",True,,0.7,"{""categories"": [""Data Analytics"", ""Ui"", ""Software"", ""Process""]}"
3290,covidregionaldata: Subnational data for COVID-19 epidemiology,R,"['Data Analytics', 'Ris', 'Software', 'Process']","['Data Analytics', 'Integrative Analysis', 'Process', 'Ris', 'Software']",True,,0.77,"{""categories"": [""Data Analytics"", ""Ris"", ""Software"", ""Process""]}"
177,GSODR: Global Summary Daily Weather Data in R,R,"['Data Analytics', 'Software', 'Ris', 'Process']","['Data Analytics', 'Integrative Analysis', 'Process', 'Ris', 'Software']",True,,0.71,"{""categories"": [""Data Analytics"", ""Software"", ""Ris"", ""Process""]}"
1322,UTDEventData: An R package to access political event data,R,"['Data Analytics', 'Ris', 'Software', 'Process']","['Data Analytics', 'Integrative Analysis', 'Ris', 'Software']",True,,0.71,"{""categories"": [""Data Analytics"", ""Ris"", ""Software"", ""Process""]}"
1169,scikit-posthocs: Pairwise multiple comparison tests in Python,Python,"['Data Analytics', 'Software', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software Analytics']",True,,0.6,"{""categories"": [""Data Analytics"", ""Software"", ""Process""]}"
8855,Graphem - JAX: Node Influence Maximization via Geometric Embeddings,Python,"['Modeling And Simulation', 'Data Analytics', 'Software', 'Process', 'Ui']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,0.88,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software"", ""Process"", ""Ui""]}"
8504,PyBispectra: A toolbox for advanced electrophysiological signal processing using the bispectrum,Python,"['Modeling And Simulation', 'Data Analytics', 'Ris', 'Software', 'Process', 'Ui']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,1.03,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Ris"", ""Software"", ""Process"", ""Ui""]}"
8456,Gene Fetch: A Python tool for sequence retrieval from GenBank across the tree of life,Python,"['Ris', 'Software', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,0.62,"{""categories"": [""Ris"", ""Software"", ""Process""]}"
8481,Scikit-Longitudinal: A Machine Learning Library for Longitudinal Classification in Python,Python,"['Data Analytics', 'Software', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,0.71,"{""categories"": [""Data Analytics"", ""Software"", ""Process""]}"
8454,SPEI: A Python package for calculating and visualizing drought indices,Python,"['Modeling And Simulation', 'Data Analytics', 'Ris', 'Software', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,0.89,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Ris"", ""Software"", ""Process""]}"
7471,EcoLogits: Evaluating the Environmental Impacts of Generative AI,Python,"['Data Analytics', 'Software', 'Process', 'Ris']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,0.88,"{""categories"": [""Data Analytics"", ""Software"", ""Process"", ""Ris""]}"
8061,FRAGMENT-MNP: A model of micro- and nanoplastic fragmentation in the environment,Python,"['Modeling And Simulation', 'Data Analytics', 'Software', 'Process', 'Ris']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,1.04,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software"", ""Process"", ""Ris""]}"
7477,VoteKit: A Python package for computational social choice research,Python,"['Modeling And Simulation', 'Data Analytics', 'Software', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,0.91,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software"", ""Process""]}"
7668,Mesa 3: Agent-based modeling with Python in 2025,Python,"['Modeling And Simulation', 'Data Analytics', 'Software', 'Ui', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,1.02,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software"", ""Ui"", ""Process""]}"
7301,Pooltool: A Python package for realistic billiards simulation,Python,"['Modeling And Simulation', 'Software', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,0.79,"{""categories"": [""Modeling And Simulation"", ""Software"", ""Process""]}"
7059,Jupyter Scatter: Interactive Exploration of Large-Scale Datasets,Python,"['Ui', 'Data Analytics', 'Software', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,0.84,"{""categories"": [""Ui"", ""Data Analytics"", ""Software"", ""Process""]}"
6169,proteusPy: A Python Package for Protein Structure and Disulfide Bond Modeling and Analysis,Python,"['Modeling And Simulation', 'Data Analytics', 'Ris', 'Software', 'Ui', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,1.05,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Ris"", ""Software"", ""Ui"", ""Process""]}"
6802,chemotools: A Python Package that Integrates Chemometrics and scikit-learn,Python,"['Data Analytics', 'Software', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,0.74,"{""categories"": [""Data Analytics"", ""Software"", ""Process""]}"
6830,"sourmash v4: A multitool to quickly search, compare, and analyze genomic and metagenomic data sets",Python,"['Data Analytics', 'Ris', 'Software', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,0.77,"{""categories"": [""Data Analytics"", ""Ris"", ""Software"", ""Process""]}"
6298,ABSESpy: An agent-based modeling framework for social-ecological systems,Python,"['Modeling And Simulation', 'Data Analytics', 'Software', 'Process', 'Ris']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,1.06,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software"", ""Process"", ""Ris""]}"
6227,Learning from Crowds with Crowd-Kit,Python,"['Data Analytics', 'Software', 'Ui', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,0.71,"{""categories"": [""Data Analytics"", ""Software"", ""Ui"", ""Process""]}"
6016,HyperNetX: A Python package for modeling complex network data as hypergraphs,Python,"['Modeling And Simulation', 'Data Analytics', 'Software', 'Ui', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,1.01,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software"", ""Ui"", ""Process""]}"
5959,HW2D: A reference implementation of the Hasegawa-Wakatani model for plasma turbulence in fusion reactors,Python,"['Modeling And Simulation', 'Data Analytics', 'Ris', 'Software', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,0.91,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Ris"", ""Software"", ""Process""]}"
5673,PurpleCaffeine: tracking of quantum programs and experiments,Python,"['Modeling And Simulation', 'Data Analytics', 'Software', 'Ui', 'Process', 'Ris']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,1.01,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software"", ""Ui"", ""Process"", ""Ris""]}"
5076,Sciris: Simplifying scientific software in Python,Python,"['Modeling And Simulation', 'Data Analytics', 'Software Analytics', 'Software', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,0.94,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software Analytics"", ""Software"", ""Process""]}"
5255,Bluebonnet: Scaling solutions for production analysis from unconventional oil and gas wells,Python,"['Modeling And Simulation', 'Data Analytics', 'Software', 'Process', 'Ris']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,1.02,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software"", ""Process"", ""Ris""]}"
5582,PxMCMC: A Python package for proximal Markov Chain Monte Carlo,Python,"['Modeling And Simulation', 'Data Analytics', 'Ris', 'Software', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,1.03,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Ris"", ""Software"", ""Process""]}"
5593,Pyafscgap.org: Open source multi-modal Python-based tools for NOAA AFSC RACE GAP,Python,"['Modeling And Simulation', 'Data Analytics', 'Software', 'Ui', 'Process', 'Ris']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,1.04,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software"", ""Ui"", ""Process"", ""Ris""]}"
5092,Fast Resampling and Monte Carlo Methods in Python,Python,"['Modeling And Simulation', 'Data Analytics', 'Software', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,0.8,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software"", ""Process""]}"
4724,The sspm R package for spatially-explicit surplus production population models,R,"['Modeling And Simulation', 'Data Analytics', 'Software', 'Ris', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,1.02,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software"", ""Ris"", ""Process""]}"
5269,spgrep: On-the-fly generator of space-group irreducible representations,Python,"['Modeling And Simulation', 'Software', 'Process', 'Ris']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,0.93,"{""categories"": [""Modeling And Simulation"", ""Software"", ""Process"", ""Ris""]}"
5415,xclim: xarray-based climate data analytics,Python,"['Data Analytics', 'Ris', 'Software', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,0.74,"{""categories"": [""Data Analytics"", ""Ris"", ""Software"", ""Process""]}"
5300,fractopo: A Python package for fracture network analysis,Python,"['Data Analytics', 'Ris', 'Software', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,0.86,"{""categories"": [""Data Analytics"", ""Ris"", ""Software"", ""Process""]}"
5149,PyExperimenter: Easily distribute experiments and track results,Python,"['Software Analytics', 'Data Analytics', 'Ris', 'Software', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,0.99,"{""categories"": [""Software Analytics"", ""Data Analytics"", ""Ris"", ""Software"", ""Process""]}"
5126,Openseize: A digital signal processing package for large EEG datasets in Python,Python,"['Data Analytics', 'Software', 'Process', 'Ris']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,0.72,"{""categories"": [""Data Analytics"", ""Software"", ""Process"", ""Ris""]}"
4953,tpcp: Tiny Pipelines for Complex Problems - A set of framework independent helpers for algorithms development and evaluation,Python,"['Software', 'Process', 'Data Analytics']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,0.73,"{""categories"": [""Software"", ""Process"", ""Data Analytics""]}"
5028,ALNS: a Python implementation of the adaptive large neighbourhood search metaheuristic,Python,"['Modeling And Simulation', 'Data Analytics', 'Software', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,0.81,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software"", ""Process""]}"
4774,VIP: A Python package for high-contrast imaging,Python,"['Modeling And Simulation', 'Data Analytics', 'Ris', 'Software', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,1.05,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Ris"", ""Software"", ""Process""]}"
4879,teiphy: A Python Package for Converting TEI XML Collations to NEXUS and Other Formats,Python,"['Software', 'Process', 'Ris']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,0.74,"{""categories"": [""Software"", ""Process"", ""Ris""]}"
4866,hstrat: a Python Package for phylogenetic inference on distributed digital evolution populations,Python,"['Modeling And Simulation', 'Data Analytics', 'Ris', 'Software', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,1.01,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Ris"", ""Software"", ""Process""]}"
4622,Black-it: A Ready-to-Use and Easy-to-Extend Calibration Kit for Agent-based Models,Python,"['Modeling And Simulation', 'Data Analytics', 'Software', 'Process', 'Ris']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,1.05,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software"", ""Process"", ""Ris""]}"
4455,GPJax: A Gaussian Process Framework in JAX,Python,"['Modeling And Simulation', 'Data Analytics', 'Software', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,0.92,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software"", ""Process""]}"
4212,ausdex: A Python package for adjusting Australian dollars for inflation,Python,"['Data Analytics', 'Software', 'Process', 'Ris']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,0.86,"{""categories"": [""Data Analytics"", ""Software"", ""Process"", ""Ris""]}"
4383,`tukey_hsd`: An Accurate Implementation of the Tukey Honestly Significant Difference Test in Python,Python,"['Data Analytics', 'Software', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,0.65,"{""categories"": [""Data Analytics"", ""Software"", ""Process""]}"
4080,Rainbow: Automated Air-Liquid Interface Cell Culture Analysis Using Deep Optical Flow,Python,"['Data Analytics', 'Software', 'Ui', 'Process', 'Ris']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,0.94,"{""categories"": [""Data Analytics"", ""Software"", ""Ui"", ""Process"", ""Ris""]}"
3417,Beiwe: A data collection platform for high-throughput digital phenotyping,Python,"['Data Analytics', 'Software', 'Ui', 'Process', 'Ris']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,0.99,"{""categories"": [""Data Analytics"", ""Software"", ""Ui"", ""Process"", ""Ris""]}"
2784,"kalepy: a Python package for kernel density estimation, sampling and plotting",Python,"['Data Analytics', 'Software', 'Process', 'Ui']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,0.7,"{""categories"": [""Data Analytics"", ""Software"", ""Process"", ""Ui""]}"
2392,multivar_horner: A Python package for computing Horner factorisations of multivariate polynomials,Python,"['Modeling And Simulation', 'Software', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,0.79,"{""categories"": [""Modeling And Simulation"", ""Software"", ""Process""]}"
2075,psi-collect: A Python module for post-storm image collection and cataloging,Python,"['Data Analytics', 'Software', 'Process', 'Ris']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,0.76,"{""categories"": [""Data Analytics"", ""Software"", ""Process"", ""Ris""]}"
1931,NeuroDiffEq: A Python package for solving differential equations with neural networks,Python,"['Modeling And Simulation', 'Data Analytics', 'Software', 'Ui', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,1.02,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software"", ""Ui"", ""Process""]}"
1738,Pybotics: Python Toolbox for Robotics,Python,"['Modeling And Simulation', 'Data Analytics', 'Software', 'Ui', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,1.01,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software"", ""Ui"", ""Process""]}"
1675,pySRURGS - a python package for symbolic regression by uniform random global search,Python,"['Modeling And Simulation', 'Data Analytics', 'Software', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,0.79,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software"", ""Process""]}"
1463,emg3d: A multigrid solver for 3D electromagnetic diffusion,Python,"['Modeling And Simulation', 'Data Analytics', 'Ris', 'Software', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,0.9,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Ris"", ""Software"", ""Process""]}"
979,Lithology: A Landlab submodule for spatially variable rock properties,Python,"['Modeling And Simulation', 'Data Analytics', 'Ris', 'Software', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,0.88,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Ris"", ""Software"", ""Process""]}"
613,NiaPy: Python microframework for building nature-inspired algorithms,Python,"['Modeling And Simulation', 'Data Analytics', 'Software', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,0.91,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software"", ""Process""]}"
53,CAZy-parser a way to extract information from the Carbohydrate-Active enZYmes Database,Python,"['Data Analytics', 'Ris', 'Software', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,0.72,"{""categories"": [""Data Analytics"", ""Ris"", ""Software"", ""Process""]}"
8037,AutoUncertainties: A Python Package for Uncertainty Propagation,Python,"['Modeling And Simulation', 'Data Analytics', 'Software', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics']",True,,0.82,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software"", ""Process""]}"
6733,MWRpy: A Python package for processing microwave radiometer data,Python,"['Data Analytics', 'Ris', 'Software', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics']",True,,0.73,"{""categories"": [""Data Analytics"", ""Ris"", ""Software"", ""Process""]}"
5867,sparse-lm: Sparse linear regression models in Python,Python,"['Modeling And Simulation', 'Data Analytics', 'Software', 'Process', 'Ris']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics']",True,,0.92,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software"", ""Process"", ""Ris""]}"
5701,lavaanExtra: Convenience Functions for Package lavaan,R,"['Data Analytics', 'Software', 'Process', 'Ris']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics']",True,,0.72,"{""categories"": [""Data Analytics"", ""Software"", ""Process"", ""Ris""]}"
4607,PyFPT: A Python package for first-passage times,Python,"['Modeling And Simulation', 'Data Analytics', 'Software', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics']",True,,0.76,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software"", ""Process""]}"
4568,CWInPy: A Python package for inference with continuous gravitational-wave signals from pulsars,Python,"['Modeling And Simulation', 'Data Analytics', 'Ris', 'Software', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics']",True,,0.97,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Ris"", ""Software"", ""Process""]}"
3330,spopt: a python package for solving spatial optimization problems in PySAL,Python,"['Modeling And Simulation', 'Data Analytics', 'Software', 'Process', 'Ris']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics']",True,,0.96,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software"", ""Process"", ""Ris""]}"
4078,PyNumDiff: A Python package for numerical differentiation of noisy time-series data,Python,"['Modeling And Simulation', 'Data Analytics', 'Software', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics']",True,,0.77,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software"", ""Process""]}"
3864,sknet: A Python framework for Machine Learning in Complex Networks,Python,"['Data Analytics', 'Software Analytics', 'Software', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics']",True,,0.74,"{""categories"": [""Data Analytics"", ""Software Analytics"", ""Software"", ""Process""]}"
3617,eyecite: A tool for parsing legal citations,Python,"['Data Analytics', 'Software', 'Ris', 'Process']","['Data Analytics', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics']",True,,0.74,"{""categories"": [""Data Analytics"", ""Software"", ""Ris"", ""Process""]}"
